hombre	personas	D	etnia	Z	ocupado_jefe	ingreso_jefe_hogar
0.00	4.00	0.00	1.00	-1,383264065	1.00	0.00
0.00	4.00	0.00	0.00	-2,713092089	0.00	102.00
1.00	10.00	0.00	0.00	-1,125180006	1.00	0.00
0.00	8.00	0.00	1.00	-1,038570404	1.00	9,600000381
1.00	3.00	0.00	0.00	-0,338791817	1.00	108.00
1.00	3.00	0.00	1.00	-1,90662539	1.00	42,5
0.00	6.00	0.00	0.00	0,190967411	0.00	173,9799957
1.00	5.00	0.00	0.00	-1,389559031	1.00	50.00
0.00	3.00	0.00	0.00	0,578376949	1.00	136.00
0.00	3.00	0.00	1.00	-1,19633615	0.00	0.00
1.00	5.00	0.00	1.00	-3,458964348	1.00	47.00
1.00	5.00	0.00	1.00	-1,209137797	1.00	53.00
1.00	6.00	0.00	1.00	-1,732895374	1.00	0.00
1.00	5.00	0.00	0.00	-1,675081015	0.00	0.00
1.00	6.00	0.00	0.00	-0,875189066	1.00	43,29999924
1.00	4.00	0.00	1.00	-1,956445098	0.00	129,5
1.00	5.00	0.00	0.00	-1,527897954	1.00	46.00
1.00	4.00	0.00	0.00	-2,162199974	1.00	1,399999976
0.00	3.00	0.00	0.00	0,224011213	1.00	30,5
1.00	6.00	0.00	1.00	-1,71470654	0.00	119,5
1.00	3.00	0.00	0.00	-0,973335803	1.00	45.00
0.00	5.00	0.00	1.00	-1,122178793	1.00	440.00
1.00		0.00	1.00	0,769378722	1.00	71,69999695
0.00	4.00	0.00	0.00	-0,044095702	1.00	128,8999939
0.00	6.00	0.00	0.00	-0,4351677	1.00	89.00
0.00	6.00	0.00	1.00	-1,726157784	0.00	12,5
0.00	5.00	0.00	0.00	-1,965790033	1.00	39,5
1.00	5.00	0.00	0.00	-0,025585899	0.00	85,5
1.00	4.00	0.00	1.00	-1,09198463	1.00	61,79999924
0.00		0.00	1.00	-0,263296187	1.00	78,25
